,Unnamed: 0,Name,GradeDistribution,Color,Black,White,Yellow,z_thermo_raw,incut_size,rotational_angle,slopeness,sharpness
94,94,H10,"{'6B+': 10, '6C': 8, '6C+': 6, '7A': 2, '7A+': 6, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
95,95,H11,"{'6B+': 8, '6C': 7, '6C+': 6, '7A': 6, '7A+': 3, '7B': 2, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,1 or 2,,,,
96,96,H12,"{'6B+': 2, '6C': 3, '6C+': 3, '7A': 4, '7A+': 9, '7B': 9, '7B+': 1, '7C': 3, '7C+': 4, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0,,,,
97,97,H13,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
98,98,H14,"{'6B+': 1, '6C': 1, '6C+': 2, '7A': 3, '7A+': 6, '7B': 5, '7B+': 1, '7C': 3, '7C+': 3, '8A': 0, '8A+': 2, '8B': 0}",yellow,0,0,1,2,,,,
99,99,H15,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 1, '7B+': 0, '7C': 2, '7C+': 0, '8A': 2, '8A+': 1, '8B': 0}",yellow,0,0,1,0 or 1,,,,
100,100,H16,"{'6B+': 7, '6C': 5, '6C+': 4, '7A': 5, '7A+': 3, '7B': 3, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
101,101,H18,"{'6B+': 0, '6C': 0, '6C+': 4, '7A': 1, '7A+': 4, '7B': 3, '7B+': 2, '7C': 5, '7C+': 6, '8A': 3, '8A+': 0, '8B': 1}",yellow,0,0,1,0 or 1,,,,
102,102,I4,"{'6B+': 1, '6C': 1, '6C+': 1, '7A': 2, '7A+': 3, '7B': 0, '7B+': 2, '7C': 4, '7C+': 2, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
103,103,I5,"{'6B+': 1, '6C': 2, '6C+': 4, '7A': 5, '7A+': 3, '7B': 2, '7B+': 4, '7C': 3, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,2,,,,
104,104,I6,"{'6B+': 3, '6C': 1, '6C+': 1, '7A': 0, '7A+': 1, '7B': 0, '7B+': 0, '7C': 5, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
105,105,I7,"{'6B+': 0, '6C': 0, '6C+': 2, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
106,106,I8,"{'6B+': 0, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 1, '7B+': 0, '7C': 2, '7C+': 0, '8A': 3, '8A+': 1, '8B': 0}",yellow,0,0,1,0 or 1,,,,
107,107,I9,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 0, '7A+': 2, '7B': 1, '7B+': 3, '7C': 3, '7C+': 3, '8A': 0, '8A+': 0, '8B': 1}",black,1,0,0,1 or 2,,,,
108,108,I10,"{'6B+': 7, '6C': 7, '6C+': 1, '7A': 4, '7A+': 3, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
109,109,I11,"{'6B+': 3, '6C': 6, '6C+': 3, '7A': 1, '7A+': 1, '7B': 1, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,1 or 2,,,,
110,110,I12,"{'6B+': 0, '6C': 4, '6C+': 7, '7A': 3, '7A+': 2, '7B': 2, '7B+': 0, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,2,,,,
111,111,I13,"{'6B+': 1, '6C': 5, '6C+': 2, '7A': 4, '7A+': 0, '7B': 4, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0,,,,
112,112,I14,"{'6B+': 9, '6C': 11, '6C+': 4, '7A': 6, '7A+': 6, '7B': 3, '7B+': 1, '7C': 1, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
113,113,I15,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 3, '7B': 2, '7B+': 0, '7C': 2, '7C+': 5, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,0,,,,
114,114,I16,"{'6B+': 7, '6C': 7, '6C+': 1, '7A': 2, '7A+': 2, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
115,115,I18,"{'6B+': 9, '6C': 11, '6C+': 9, '7A': 4, '7A+': 9, '7B': 5, '7B+': 4, '7C': 5, '7C+': 5, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
116,116,J2,"{'6B+': 1, '6C': 0, '6C+': 2, '7A': 1, '7A+': 4, '7B': 2, '7B+': 2, '7C': 4, '7C+': 3, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
