,Name,GradeDistribution,Color,Black,White,Yellow
130,K7,"{'6B+': 1, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 1, '7B+': 0, '7C': 2, '7C+': 1, '8A': 0, '8A+': 1, '8B': 0}",yellow,0,0,1
131,K8,"{'6B+': 1, '6C': 0, '6C+': 0, '7A': 2, '7A+': 1, '7B': 2, '7B+': 1, '7C': 0, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1
132,K9,"{'6B+': 1, '6C': 2, '6C+': 1, '7A': 4, '7A+': 4, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
133,K10,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 1, '7B': 1, '7B+': 0, '7C': 3, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1
134,K11,"{'6B+': 1, '6C': 3, '6C+': 1, '7A': 1, '7A+': 2, '7B': 0, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
135,K12,"{'6B+': 1, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 0, '7B+': 0, '7C': 3, '7C+': 1, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1
136,K13,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1
137,K14,"{'6B+': 0, '6C': 1, '6C+': 2, '7A': 0, '7A+': 2, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
138,K16,"{'6B+': 1, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
139,K18,"{'6B+': 5, '6C': 5, '6C+': 4, '7A': 4, '7A+': 6, '7B': 3, '7B+': 3, '7C': 4, '7C+': 5, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0
